EVI,NDVI,Specie,date,elev_code,sp_code
0.09921910258338912,0.2938707123524753,Pinus_halepensis,19860114,medium,halepensis
0.10437628310669347,0.1819865970745538,Pinus_halepensis,19860114,low,halepensis
NA,NA,Pinus_halepensis,19860114,high,halepensis
NA,NA,Pinus_nigra,19860114,low,nigra
NA,NA,Pinus_nigra,19860114,high,nigra
NA,NA,Pinus_nigra,19860114,medium,nigra
NA,NA,Pinus_pinaster,19860114,low,pinaster
NA,NA,Pinus_pinaster,19860114,medium,pinaster
NA,NA,Pinus_pinaster,19860114,high,pinaster
NA,NA,Pinus_sylvestris,19860114,low,sylvestris
NA,NA,Pinus_sylvestris,19860114,medium,sylvestris
NA,NA,Pinus_sylvestris,19860114,high,sylvestris
0.10894082358081691,0.2502867290687779,Pinus_halepensis,19860303,medium,halepensis
0.10419745787762348,0.17614705691479013,Pinus_halepensis,19860303,low,halepensis
NA,NA,Pinus_halepensis,19860303,high,halepensis
NA,NA,Pinus_nigra,19860303,low,nigra
NA,NA,Pinus_nigra,19860303,high,nigra
NA,NA,Pinus_nigra,19860303,medium,nigra
NA,NA,Pinus_pinaster,19860303,low,pinaster
NA,NA,Pinus_pinaster,19860303,medium,pinaster
NA,NA,Pinus_pinaster,19860303,high,pinaster
NA,NA,Pinus_sylvestris,19860303,low,sylvestris
NA,NA,Pinus_sylvestris,19860303,medium,sylvestris
NA,NA,Pinus_sylvestris,19860303,high,sylvestris
0.14033185120919642,0.28519334802644764,Pinus_halepensis,19860420,medium,halepensis
0.13629522860716028,0.2280840360523049,Pinus_halepensis,19860420,low,halepensis
NA,NA,Pinus_halepensis,19860420,high,halepensis
NA,NA,Pinus_nigra,19860420,low,nigra
NA,NA,Pinus_nigra,19860420,high,nigra
NA,NA,Pinus_nigra,19860420,medium,nigra
NA,NA,Pinus_pinaster,19860420,low,pinaster
NA,NA,Pinus_pinaster,19860420,medium,pinaster
NA,NA,Pinus_pinaster,19860420,high,pinaster
NA,NA,Pinus_sylvestris,19860420,low,sylvestris
NA,NA,Pinus_sylvestris,19860420,medium,sylvestris
NA,NA,Pinus_sylvestris,19860420,high,sylvestris
0.1512987217594974,0.2628279025021354,Pinus_halepensis,19860623,medium,halepensis
0.09434255678696205,0.15115594279932948,Pinus_halepensis,19860623,low,halepensis
NA,NA,Pinus_halepensis,19860623,high,halepensis
NA,NA,Pinus_nigra,19860623,low,nigra
NA,NA,Pinus_nigra,19860623,high,nigra
NA,NA,Pinus_nigra,19860623,medium,nigra
NA,NA,Pinus_pinaster,19860623,low,pinaster
NA,NA,Pinus_pinaster,19860623,medium,pinaster
NA,NA,Pinus_pinaster,19860623,high,pinaster
NA,NA,Pinus_sylvestris,19860623,low,sylvestris
NA,NA,Pinus_sylvestris,19860623,medium,sylvestris
NA,NA,Pinus_sylvestris,19860623,high,sylvestris
0.12147747174016885,0.21254378930485812,Pinus_halepensis,19860810,medium,halepensis
0.09356041974094112,0.14729910092254442,Pinus_halepensis,19860810,low,halepensis
NA,NA,Pinus_halepensis,19860810,high,halepensis
NA,NA,Pinus_nigra,19860810,low,nigra
NA,NA,Pinus_nigra,19860810,high,nigra
NA,NA,Pinus_nigra,19860810,medium,nigra
NA,NA,Pinus_pinaster,19860810,low,pinaster
NA,NA,Pinus_pinaster,19860810,medium,pinaster
NA,NA,Pinus_pinaster,19860810,high,pinaster
NA,NA,Pinus_sylvestris,19860810,low,sylvestris
NA,NA,Pinus_sylvestris,19860810,medium,sylvestris
NA,NA,Pinus_sylvestris,19860810,high,sylvestris
0.15452538631346574,0.4800853193322121,Pinus_halepensis,19870101,medium,halepensis
0.19008188613442376,0.3036190250547888,Pinus_halepensis,19870101,low,halepensis
NA,NA,Pinus_halepensis,19870101,high,halepensis
NA,NA,Pinus_nigra,19870101,low,nigra
NA,NA,Pinus_nigra,19870101,high,nigra
NA,NA,Pinus_nigra,19870101,medium,nigra
NA,NA,Pinus_pinaster,19870101,low,pinaster
NA,NA,Pinus_pinaster,19870101,medium,pinaster
NA,NA,Pinus_pinaster,19870101,high,pinaster
NA,NA,Pinus_sylvestris,19870101,low,sylvestris
NA,NA,Pinus_sylvestris,19870101,medium,sylvestris
NA,NA,Pinus_sylvestris,19870101,high,sylvestris
