year,sp_code,elev_code,sp_elev,npp
2001,halepensis,medium,halepensis_medium,594.3000000000001
2001,halepensis,low,halepensis_low,245
2001,halepensis,high,halepensis_high,503.8
2001,nigra,low,nigra_low,712.7
2001,nigra,high,nigra_high,714.9000000000001
2001,nigra,medium,nigra_medium,748.6
2001,pinaster,low,pinaster_low,665.3000000000001
2001,pinaster,medium,pinaster_medium,783.8000000000001
2001,pinaster,high,pinaster_high,733.7
2001,sylvestris,low,sylvestris_low,885.2
2001,sylvestris,medium,sylvestris_medium,820.5
2001,sylvestris,high,sylvestris_high,625.9000000000001
2002,halepensis,medium,halepensis_medium,684.4000000000001
2002,halepensis,low,halepensis_low,311
2002,halepensis,high,halepensis_high,508.2000000000001
2002,nigra,low,nigra_low,754.2
2002,nigra,high,nigra_high,780
2002,nigra,medium,nigra_medium,790.6
2002,pinaster,low,pinaster_low,705
2002,pinaster,medium,pinaster_medium,821.1
2002,pinaster,high,pinaster_high,821.4000000000001
2002,sylvestris,low,sylvestris_low,965.4
2002,sylvestris,medium,sylvestris_medium,858.7
2002,sylvestris,high,sylvestris_high,763
2003,halepensis,medium,halepensis_medium,554.1
2003,halepensis,low,halepensis_low,267.6
2003,halepensis,high,halepensis_high,519.2
2003,nigra,low,nigra_low,662.2
2003,nigra,high,nigra_high,651.6
2003,nigra,medium,nigra_medium,671.4000000000001
2003,pinaster,low,pinaster_low,611
2003,pinaster,medium,pinaster_medium,692.5
2003,pinaster,high,pinaster_high,704.6
2003,sylvestris,low,sylvestris_low,889.7
2003,sylvestris,medium,sylvestris_medium,821
2003,sylvestris,high,sylvestris_high,655.1
2004,halepensis,medium,halepensis_medium,702.4000000000001
2004,halepensis,low,halepensis_low,391.7000000000001
2004,halepensis,high,halepensis_high,566.7
2004,nigra,low,nigra_low,775.9000000000001
2004,nigra,high,nigra_high,786.3000000000001
2004,nigra,medium,nigra_medium,823.2
2004,pinaster,low,pinaster_low,752
2004,pinaster,medium,pinaster_medium,871.3000000000001
2004,pinaster,high,pinaster_high,777.2
2004,sylvestris,low,sylvestris_low,1008.4
2004,sylvestris,medium,sylvestris_medium,887.6
2004,sylvestris,high,sylvestris_high,748.4000000000001
2005,halepensis,medium,halepensis_medium,635.3000000000001
2005,halepensis,low,halepensis_low,302.40000000000003
2005,halepensis,high,halepensis_high,483.9
2005,nigra,low,nigra_low,595.7
2005,nigra,high,nigra_high,606.4
2005,nigra,medium,nigra_medium,628.9000000000001
2005,pinaster,low,pinaster_low,556.6
2005,pinaster,medium,pinaster_medium,658
2005,pinaster,high,pinaster_high,649
2005,sylvestris,low,sylvestris_low,841.3000000000001
2005,sylvestris,medium,sylvestris_medium,790.7
2005,sylvestris,high,sylvestris_high,602
2006,halepensis,medium,halepensis_medium,608.7
2006,halepensis,low,halepensis_low,278
2006,halepensis,high,halepensis_high,499.6
2006,nigra,low,nigra_low,663
2006,nigra,high,nigra_high,667.2
2006,nigra,medium,nigra_medium,693.9000000000001
2006,pinaster,low,pinaster_low,589.2
2006,pinaster,medium,pinaster_medium,709.1
2006,pinaster,high,pinaster_high,696.4000000000001
2006,sylvestris,low,sylvestris_low,897.8000000000001
2006,sylvestris,medium,sylvestris_medium,841.1
2006,sylvestris,high,sylvestris_high,610.8000000000001
2007,halepensis,medium,halepensis_medium,686.8000000000001
2007,halepensis,low,halepensis_low,304.90000000000003
2007,halepensis,high,halepensis_high,584.6
2007,nigra,low,nigra_low,767.9000000000001
2007,nigra,high,nigra_high,835.5
2007,nigra,medium,nigra_medium,806.3000000000001
2007,pinaster,low,pinaster_low,713
2007,pinaster,medium,pinaster_medium,866.4000000000001
2007,pinaster,high,pinaster_high,826
2007,sylvestris,low,sylvestris_low,920.2
2007,sylvestris,medium,sylvestris_medium,844.5
2007,sylvestris,high,sylvestris_high,785.8000000000001
2008,halepensis,medium,halepensis_medium,637.3000000000001
2008,halepensis,low,halepensis_low,244
2008,halepensis,high,halepensis_high,474.6
2008,nigra,low,nigra_low,654.8000000000001
2008,nigra,high,nigra_high,726.3000000000001
2008,nigra,medium,nigra_medium,713.2
2008,pinaster,low,pinaster_low,616.9000000000001
2008,pinaster,medium,pinaster_medium,767.8000000000001
2008,pinaster,high,pinaster_high,735.9000000000001
2008,sylvestris,low,sylvestris_low,868.3000000000001
2008,sylvestris,medium,sylvestris_medium,804.8000000000001
2008,sylvestris,high,sylvestris_high,707
2009,halepensis,medium,halepensis_medium,642.3000000000001
2009,halepensis,low,halepensis_low,316.20000000000005
2009,halepensis,high,halepensis_high,461.2000000000001
2009,nigra,low,nigra_low,634.4000000000001
2009,nigra,high,nigra_high,693.6
2009,nigra,medium,nigra_medium,673.5
2009,pinaster,low,pinaster_low,588.6
2009,pinaster,medium,pinaster_medium,705.2
2009,pinaster,high,pinaster_high,654.9000000000001
