Year,Original,Fitted
"2,000",387.786,380.26
"2,001",410.768,385.261
"2,002",382.237,390.263
"2,003",424.257,395.265
"2,004",426.904,400.267
"2,005",390.307,405.268
"2,006",306.304,410.27
"2,007",391.326,415.272
"2,008",319.724,420.274
"2,009",391.304,425.276
"2,010",406.767,430.277
"2,011",449.76,435.279
"2,012",388.78,440.281
"2,013",451.709,445.283
"2,014",471.952,450.284
"2,015",480.367,455.286
"2,016",464.845,460.288
"2,017",416.881,465.29
"2,018",502.765,470.291
"2,019",439.49,475.293
"2,020",484.406,480.295
"2,021",517.376,485.297
