Year,Original,Fitted
"2,000",285.828,313.254
"2,001",328.257,323.22
"2,002",351.985,333.186
"2,003",350.859,343.152
"2,004",398.289,353.118
"2,005",313.797,363.084
"2,006",-31.46,-31.46
"2,007",187.788,45.175
"2,008",233.147,121.811
"2,009",200.73,198.446
"2,010",182.047,275.082
"2,011",277.919,282.895
"2,012",277.556,290.708
"2,013",271.255,298.521
"2,014",309.689,306.335
"2,015",310.145,314.148
"2,016",319.636,321.961
"2,017",343.398,329.774
"2,018",352.436,337.588
"2,019",364.454,345.401
"2,020",331.223,353.214
"2,021",358.11,361.027
