Year,Original,Fitted
"2,000",329.601,329.699
"2,001",345.137,336.35
"2,002",369.51,343
"2,003",367.176,349.65
"2,004",383.321,356.301
"2,005",356.761,362.951
"2,006",323.958,369.601
"2,007",346.389,376.251
"2,008",356.069,382.902
"2,009",361.895,389.552
"2,010",386.2,396.202
"2,011",416.106,402.853
"2,012",423.737,409.503
"2,013",433.402,416.153
"2,014",437.041,422.804
"2,015",414.847,429.454
"2,016",472.045,436.104
"2,017",428.277,442.754
"2,018",457.739,449.405
"2,019",442.351,456.055
"2,020",472.987,462.705
"2,021",465.057,469.356
