Year,Original,Fitted
"2,000",400.856,410.521
"2,001",418.279,418.561
"2,002",435.342,426.601
"2,003",437.908,434.642
"2,004",459.38,442.682
"2,005",431.963,450.722
"2,006",160.912,160.912
"2,007",239.048,233.315
"2,008",302.85,305.717
"2,009",256.533,314.788
"2,010",365.974,323.858
"2,011",372.622,332.929
"2,012",315.762,341.999
"2,013",342.487,351.07
"2,014",380.605,360.14
"2,015",385.61,369.21
"2,016",383.846,378.281
"2,017",361.05,387.351
"2,018",398.649,396.422
"2,019",391.191,405.492
"2,020",422.904,414.563
"2,021",423.045,423.633
