"Estadillo";"Cla";"Subclase";"Especie";"Fcc";"Hm"
"0001";"A";"4";"1167";3;4
"0001";"A";"4";"129";5;1
"0001";"A";"4";"156";3;3
"0001";"A";"4";"2122";2;5
"0002";"A";"1";"1104";5;2
"0002";"A";"1";"116";2;3
"0002";"A";"1";"1167";15;8
"0002";"A";"1";"119";2;3
"0002";"A";"1";"129";5;2
"0002";"A";"1";"8104";15;3
"0003";"A";"1";"1104";3;2
"0003";"A";"1";"116";2;2
"0003";"A";"1";"1167";5;10
"0003";"A";"1";"128";2;2
"0003";"A";"1";"129";3;1
"0004";"A";"1";"1167";10;6
"0005";"A";"1";"1104";5;2
"0005";"A";"1";"1144";2;3
"0005";"A";"1";"116";5;5
"0005";"A";"1";"1167";3;5
"0005";"A";"1";"129";5;1
"0006";"A";"1";"1104";3;2
"0006";"A";"1";"116";2;5
"0006";"A";"1";"1167";2;4
"0006";"A";"1";"119";3;5
"0006";"A";"1";"129";10;1
"0007";"A";"1";"116";5;10
"0007";"A";"1";"1167";60;10
"0007";"A";"1";"119";5;15
"0007";"A";"1";"129";5;1
"0007";"A";"1";"144";4;15
"0008";"A";"1";"110";1;4
"0008";"A";"1";"116";10;18
"0008";"A";"1";"119";5;25
"0008";"A";"1";"129";5;2
"0009";"A";"1";"110";2;3
"0009";"A";"1";"1167";30;7
"0009";"A";"1";"119";2;5
"0009";"A";"1";"162";2;3
"0010";"A";"1";"1104";10;1
"0010";"A";"1";"116";5;10
"0010";"A";"1";"129";3;2
"0011";"A";"4";"116";10;15
"0011";"A";"4";"1167";15;5
"0011";"A";"4";"117";1;2
"0011";"A";"4";"119";5;5
"0011";"A";"4";"144";5;5
"0012";"A";"1";"116";15;10
"0012";"A";"1";"1167";20;10
"0012";"A";"1";"117";2;1
"0012";"A";"1";"119";5;10
"0012";"A";"1";"129";2;2
"0013";"A";"1";"1167";10;5
"0013";"A";"1";"119";5;10
"0013";"A";"1";"144";3;10
"0014";"A";"4";"1104";2;1
"0014";"A";"4";"1167";3;3
"0015";"A";"1";"1104";15;2
"0015";"A";"1";"116";15;8
"0015";"A";"1";"1167";10;10
"0015";"A";"1";"119";5;3
"0016";"A";"1";"1104";15;2
"0016";"A";"1";"116";15;15
"0016";"A";"1";"117";5;2
"0016";"A";"1";"119";2;3
"0017";"A";"1";"116";15;15
"0017";"A";"1";"1167";20;15
"0017";"A";"1";"119";10;10
"0017";"A";"1";"144";5;10
"0018";"A";"4";"116";7;11
"0018";"A";"4";"1167";20;8
"0018";"A";"4";"119";5;18
"0018";"A";"4";"129";2;2
"0019";"A";"1";"110";2;4
"0019";"A";"1";"116";10;15
"0019";"A";"1";"1167";10;10
"0019";"A";"1";"119";10;18
"0019";"A";"1";"124";3;4
"0019";"A";"1";"129";3;1
"0019";"A";"1";"144";5;20
"0019";"A";"1";"8104";20;4
"0020";"A";"1";"1104";15;2
"0020";"A";"1";"116";5;15
"0020";"A";"1";"1167";5;10
"0021";"A";"1";"116";2;5
"0021";"A";"1";"1167";35;15
"0021";"A";"1";"119";5;10
"0023";"A";"4";"1104";20;2
"0023";"A";"4";"116";35;10
"0023";"A";"4";"1167";5;4
"0023";"A";"4";"117";10;1
"0024";"A";"1";"1104";5;1
"0024";"A";"1";"116";15;15
"0024";"A";"1";"162";5;1
"0025";"A";"1";"110";3;4
"0025";"A";"1";"1104";20;2
"0025";"A";"1";"116";20;15
"0025";"A";"1";"1167";5;15
"0025";"A";"1";"144";2;2
"0025";"A";"1";"162";2;2
"0026";"A";"4";"116";5;5
"0026";"A";"4";"1167";5;4
"0026";"A";"4";"119";5;25
"0026";"A";"4";"129";10;1
"0026";"A";"4";"144";5;10
"0026";"A";"4";"2122";5;15
"0027";"A";"1";"116";2;7
"0027";"A";"1";"119";2;7
"0027";"A";"1";"129";8;2
"0027";"A";"1";"4104";3;6
"0028";"A";"3E";"1104";20;2
"0028";"A";"3E";"116";10;4
"0028";"A";"3E";"129";5;1
"0029";"A";"1";"1104";20;2
"0029";"A";"1";"116";15;15
"0029";"A";"1";"1167";10;10
"0029";"A";"1";"8104";15;3
"0030";"A";"1";"1167";5;5
"0030";"A";"1";"119";1;7
"0030";"A";"1";"129";10;1
"0031";"A";"1";"1167";3;5
"0031";"A";"1";"124";3;3
"0031";"A";"1";"129";10;1
"0031";"A";"1";"3155";10;4
"0032";"A";"4";"1104";5;2
"0032";"A";"4";"117";5;1
"0032";"A";"4";"129";20;1
"0033";"A";"1";"116";10;15
"0033";"A";"1";"1167";2;4
"0033";"A";"1";"119";5;15
"0033";"A";"1";"129";10;1
"0034";"A";"1";"104";40;6
"0034";"A";"1";"116";5;5
"0034";"A";"1";"1167";30;6
"0034";"A";"1";"119";5;15
"0034";"A";"1";"124";2;3
"0034";"A";"1";"128";5;2
"0034";"A";"1";"129";5;1
"0034";"A";"1";"144";3;5
"0034";"A";"1";"162";5;2
"0035";"A";"1";"1167";5;8
"0035";"A";"1";"129";10;1
"0035";"A";"1";"3155";15;8
"0035";"A";"1";"8101";5;10
"0037";"A";"3E";"116";5;10
"0037";"A";"3E";"1167";3;4
"0037";"A";"3E";"119";15;15
"0037";"A";"3E";"129";5;1
"0038";"A";"4C";"114";20;5
"0038";"A";"4C";"129";10;1
"0038";"A";"4C";"4101";60;5
"0039";"A";"4";"114";30;5
"0039";"A";"4";"117";5;1
"0039";"A";"4";"129";10;1
"0041";"A";"1";"116";5;10
"0041";"A";"1";"1167";5;5
"0041";"A";"1";"119";3;5
"0041";"A";"1";"128";3;2
"0041";"A";"1";"129";10;1
"0041";"A";"1";"8101";50;16
"0042";"A";"1";"116";1;4
"0042";"A";"1";"1167";3;4
"0042";"A";"1";"128";10;2
"0042";"A";"1";"129";5;1
"0042";"A";"1";"8101";40;18
"0043";"A";"1";"116";5;5
"0043";"A";"1";"1167";5;5
"0043";"A";"1";"127";10;3
"0043";"A";"1";"3155";10;5
"0043";"A";"1";"8101";2;18
"0044";"A";"1";"1109";2;2
"0044";"A";"1";"114";10;6
"0044";"A";"1";"119";5;5
"0044";"A";"1";"126";3;3
"0044";"A";"1";"129";15;1
"0044";"A";"1";"155";60;15
"0044";"A";"1";"4101";5;5
"0045";"A";"1";"114";40;5
"0045";"A";"1";"129";5;1
"0045";"A";"1";"3155";5;4
"0045";"A";"1";"4103";3;15
"0046";"A";"1";"114";20;10
"0046";"A";"1";"117";3;1
"0046";"A";"1";"129";5;1
"0046";"A";"1";"3155";5;4
"0046";"A";"1";"4101";10;5
"0047";"A";"1";"114";50;10
"0047";"A";"1";"128";2;3
"0047";"A";"1";"129";5;1
"0047";"A";"1";"154";2;3
"0047";"A";"1";"3155";10;5
"0048";"A";"1";"114";30;12
"0048";"A";"1";"124";5;3
"0048";"A";"1";"129";10;1
"0048";"A";"1";"4101";5;6
"0049";"A";"1";"114";30;10
"0049";"A";"1";"129";5;1
"0049";"A";"1";"3155";5;5
"0049";"A";"1";"4101";5;3
"0053";"A";"1";"116";2;10
"0053";"A";"1";"119";1;10
"0053";"A";"1";"127";3;2
"0053";"A";"1";"129";5;2
"0054";"A";"1";"1167";5;4
"0054";"A";"1";"124";10;3
"0054";"A";"1";"128";2;2
"0054";"A";"1";"129";10;1
"0055";"A";"1";"1109";3;3
"0055";"A";"1";"114";30;10
"0055";"A";"1";"129";10;1
"0055";"A";"1";"3155";3;5
"0056";"A";"1";"1109";2;2
"0056";"A";"1";"114";30;10
"0056";"A";"1";"129";10;1
"0056";"A";"1";"3155";3;3
"0058";"A";"1";"116";5;5
"0058";"A";"1";"1167";20;10
"0058";"A";"1";"119";3;5
"0058";"A";"1";"129";10;1
"0058";"A";"1";"3155";5;5
"0060";"A";"1";"116";1;3
"0060";"A";"1";"119";1;4
"0061";"A";"1";"116";3;4
"0061";"A";"1";"119";5;4
"0061";"A";"1";"129";20;1
"0061";"A";"1";"155";10;10
"0061";"A";"1";"3155";3;5
"0064";"A";"4";"1167";15;5
"0064";"A";"4";"119";5;25
"0064";"A";"4";"129";5;1
"0064";"A";"4";"155";40;15
"0064";"A";"4";"3155";5;5
"0065";"A";"1";"110";1;3
"0065";"A";"1";"1104";5;2
"0065";"A";"1";"116";5;5
"0065";"A";"1";"119";3;5
"0065";"A";"1";"124";5;3
"0065";"A";"1";"129";5;1
"0065";"A";"1";"3155";10;3
"0067";"A";"1";"1109";10;2
"0067";"A";"1";"1167";3;4
"0067";"A";"1";"129";10;1
"0067";"A";"1";"3155";10;4
"0071";"A";"4";"116";5;5
"0071";"A";"4";"119";1;4
"0071";"A";"4";"129";10;2
"0071";"A";"4";"144";1;4
"0071";"A";"4";"155";10;6
"0071";"A";"4";"4104";5;5
"0072";"A";"4";"119";1;6
"0072";"A";"4";"124";5;3
"0072";"A";"4";"129";15;1
"0072";"A";"4";"155";10;15
"0075";"A";"1";"1104";20;2
"0075";"A";"1";"116";5;5
"0075";"A";"1";"129";5;1
"0075";"A";"1";"155";10;15
"0075";"A";"1";"2122";3;3
"0075";"A";"1";"3155";10;10
"0077";"A";"3E";"104";1;5
"0077";"A";"3E";"116";5;7
"0077";"A";"3E";"129";10;3
"0077";"A";"3E";"142";2;2
"0077";"A";"3E";"162";1;1
"0078";"A";"1";"116";2;2
"0078";"A";"1";"129";15;2
"0078";"A";"1";"142";5;1
"0079";"A";"3E";"126";3;4
"0079";"A";"3E";"128";1;2
"0079";"A";"3E";"129";5;2
"0079";"A";"3E";"142";3;2
"0081";"A";"4";"116";10;8
"0081";"A";"4";"119";10;18
"0081";"A";"4";"129";5;3
"0081";"A";"4";"162";5;3
"0081";"A";"4";"2110";10;6
"0081";"A";"4";"4104";15;8
"0082";"A";"1";"116";15;12
"0082";"A";"1";"119";1;3
"0082";"A";"1";"8104";5;10
"0084";"A";"4C";"114";1;6
"0084";"A";"4C";"129";5;1
"0084";"A";"4C";"142";5;2
"0084";"A";"4C";"155";2;6
"0085";"A";"1";"116";4;6
"0085";"A";"1";"129";8;2
"0085";"A";"1";"144";1;25
"0086";"A";"1";"129";10;2
"0087";"A";"1";"114";15;9
"0087";"A";"1";"119";5;5
"0087";"A";"1";"129";10;3
"0087";"A";"1";"155";15;7
"0088";"A";"4";"1109";20;4
"0088";"A";"4";"116";1;10
"0088";"A";"4";"119";1;8
"0088";"A";"4";"126";5;3
"0088";"A";"4";"129";40;4
"0088";"A";"4";"142";5;2
"0088";"A";"4";"4104";15;8
"0089";"A";"1";"104";30;9
"0089";"A";"1";"109";15;3
"0089";"A";"1";"110";1;1
"0089";"A";"1";"114";1;3
"0089";"A";"1";"116";3;4
"0089";"A";"1";"119";5;4
"0089";"A";"1";"129";10;3
"0089";"A";"1";"162";1;2
"0089";"A";"1";"4103";3;8
"0089";"A";"1";"8104";1;2
"0091";"A";"1";"116";5;8
"0091";"A";"1";"119";5;12
"0091";"A";"1";"126";1;3
"0091";"A";"1";"129";10;3
"0091";"A";"1";"142";5;2
"0092";"A";"1";"129";15;1
"0092";"A";"1";"3155";2;3
"0093";"A";"4";"129";6;2
"0094";"A";"1";"109";5;3
"0094";"A";"1";"114";20;10
"0094";"A";"1";"142";5;3
"0094";"A";"1";"155";5;6
"0094";"A";"1";"3101";5;5
"0095";"A";"1";"1109";2;2
"0095";"A";"1";"114";15;10
"0095";"A";"1";"117";5;1
"0095";"A";"1";"3101";3;3
"0095";"A";"1";"3155";5;5
"0095";"A";"1";"8104";10;5
"0096";"A";"1";"114";50;9
"0096";"A";"1";"155";5;14
"0096";"A";"1";"3101";5;4
"0097";"A";"1";"110";1;4
"0097";"A";"1";"116";10;6
"0097";"A";"1";"119";1;20
"0097";"A";"1";"162";5;3
"0097";"A";"1";"8104";10;5
"0098";"A";"1";"1104";5;4
"0098";"A";"1";"116";5;4
"0098";"A";"1";"119";1;12
"0098";"A";"1";"127";1;2
"0098";"A";"1";"142";5;3
"0098";"A";"1";"2122";1;4
"0098";"A";"1";"4104";5;5
"0098";"A";"1";"6104";5;4
"0099";"A";"1";"116";1;9
"0099";"A";"1";"119";5;10
"0099";"A";"1";"155";20;8
"0099";"A";"1";"162";5;4
"0099";"A";"1";"8104";30;11
"0100";"A";"1";"104";15;6
"0100";"A";"1";"1109";10;4
"0100";"A";"1";"119";5;12
"0100";"A";"1";"129";10;3
"0100";"A";"1";"142";1;2
"0100";"A";"1";"162";1;4
