"Provincia";"Estadillo";"Cla";"Subclase";"CoorX";"Coory";"Tipo";"Vuelo1";"Pasada1";"Foto1";"Vuelo2";"Pasada2";"Foto2";"Ano";"INE";"Nivel1";"Nivel2";"Nivel3";"FccTot";"FccArb";"DisEsp";"ComEsp";"Rocosid";"Textura";"MatOrg";"PhSuelo";"FechaPh";"HoraPh";"TipSuelo1";"TipSuelo2";"TipSuelo3";"MErosiva";"ModComb";"EspCMue";"PresReg";"EfecReg";"CortaReg";"MejVue1";"MejVue2";"MejSue1";"MejSue2";"Orienta1";"Orienta2";"MaxPend1";"MaxPend2";"Localiza";"Acceso";"Levanta";"Obser";"Equipo";"JefeEq";"FechaIni";"HoraIni";"FechaFin";"HoraFin";"Tiempo";"Resid";"RumboF1";"RumboF2";"DistFoto";"CarFoto1";"NumFoto1";"ConFoto1";"CarFoto2";"NumFoto2";"ConFoto2";"Estado";"Tecnico"
"18";"0001";"A";"4";538000.00;4215000.00;"0";"2002";;"4-2 ";"1981";"l";"0012";"2007";;"1";"1";"1";70;50;"1";"1";"4";"2";"2";"5";;;"1";"1";"1";"1";"6";"3";;;"0";"0";;"0";;128;;14.00;;"2";"3";"3";"[CLAESP. RESTO DE ESPECIES=0%]
PARCELA LOCALIZADA CON ORTOFOTO Y GPS.
EN LOS ALREDEDORES HAY PINO LARICIO.
NO SE LOCALIZA EL REJON PORMUERTE DE MUCHOS PIES,NO HAY ALISOS EN TODA LA RIVERA SOLO SE APRECIAN CHOPOS Y FRESNOS.
[PIESMAY 002-045] MEDIDO A 1.2M.
[PIES MAYORES] 8 ENTRA POR PENDIENTE.
PIE 20 ENTRA POR PENDIENTE.";"98";" 99";12/7/2007 00:00:00;30/12/1899 12:16:19;12/7/2007 00:00:00;30/12/1899 14:20:02;;"164";"388";"52";"10";"0";117;117;"0";118;118;"T";" 9"
"18";"0002";"A";"1";538960.00;4215006.00;"0";"1981";"l";"0012";"2002";;"4-2 ";"2007";;"1";"1";"1";70;50;"1";"1";"4";"2";"2";"4";;;"1";"1";"1";"1";"6";"2";;;"0";"4";"3";"0";;28;;12.50;;"2";"3";"2";"[CLAESP. RESTO DE ESPECIES=0%]
PARCELA LOCALIZADA CON FOTOS IFN2.
[PIESMAY A 360G Y 5.9M CON DM 125,123 NO ENTRA.
[ESPECIES PRESENTES] EN LOS ALREDEDORES HAY ARCE OPALUS Y SORBUS DOMESTICA.";"98";" 99";4/6/2007 00:00:00;30/12/1899 14:03:45;4/6/2007 00:00:00;30/12/1899 15:26:36;;"164";"42";"271";"10";"0";34;34;"0";35;35;"T";" 9"
"18";"0003";"A";"1";536931.00;4214021.00;"0";"1981";"l";"0011";"2002";;"4-2 ";"2007";;"1";"1";"1";80;65;"1";"2";"3";"2";"3";"4";;;"1";"1";"1";"1";"5";"2";;;"0";"0";;"0";;326;;8.00;;"2";"3";"2";"[CLAESP. RESTO DE ESPECIES=0%]
PARCELA LOCALIZADA CON FOTOS IFN2.
[PIESMAY 002-045] HT COMPROBADA.
[ESPECIES PRESENTES] EN LOS ALREDEDORES HAY QUEJIGO.
PIE DM 120,120 A 9.0M Y 353G NO ENTRA POR POCO.
[SUELO] CALICATA A 200G.";"98";" 99";7/6/2007 00:00:00;30/12/1899 11:20:51;7/6/2007 00:00:00;30/12/1899 11:57:21;;"164";"53";"338";"10";"0";42;42;"0";43;43;"T";" 9"
"18";"0004";"A";"1";537924.00;4213953.00;"0";"1981";"l";"0012";"2002";;"4-2 ";"2007";;"1";"1";"1";95;70;"1";"2";"3";"2";"2";"4";;;"1";"1";"1";"1";"6";"3";;;"4";"4";;"0";;94;;5.50;;"2";"2";"2";"[CLAESP. RESTO DE ESPECIES=0%]
PARCELA LOCALIZADA CON FOTOS IFN2.
[PIESMAY 002-045] MEDIDA A 1.4M.
[PIESMAY 006-045] ENTRA POR PENDIENTE.
ENCINA A 16.4M Y 303G NO ENTRA.";"98";" 99";7/6/2007 00:00:00;30/12/1899 13:50:59;7/6/2007 00:00:00;30/12/1899 15:11:04;;"164";"171";"292";"11";"0";44;44;"0";45;45;"T";" 9"
"18";"0005";"A";"1";539000.00;4214000.00;"0";"1981";"l";"0012";"2002";;"4-2 ";"2007";;"1";"1";"1";90;70;"1";"2";"2";"2";"2";"4";;;"1";"1";"1";"1";"5";"2";;;"4";"4";;"0";;179;;5.25;;"2";"1";"2";"[CLAESP. RESTO DE ESPECIES=0%]
PARCELA LOCALIZADA CON FOTOS IFN2.
SIN AJUSTES EN GPS.
ENCINA DM 210,220 A 14.1M Y 286G NO ENTRA.
PIE 6 HT COMPROBADA.
FECHA IFN2: 5-09-1995
FECHA IFN3.23-05-2007";"98";" 99";23/5/2007 00:00:00;30/12/1899 10:00:00;23/5/2007 00:00:00;30/12/1899 12:05:24;;"164";"390";"292";"10";"0";10;10;"0";11;11;"T";" 9"
"18";"0006";"A";"1";539977.00;4213991.00;"0";"1981";"l";"0013";"2002";;"4-2 ";"2007";;"1";"1";"1";90;80;"1";"2";"4";"2";"2";"5";;;"1";"1";"1";"1";"6";"3";;;"0";"0";;"0";;182;;5.75;;"2";"2";"2";"[CLAESP. RESTO DE ESPECIES=0%]
PARCELA LOCALIZADA CON FOTOS IFN2.
[PIESMAY 001-025] HT COMPROBADA.
[PIESMAY 009-025] ENTRA POR PENDIENTE,HT COMPROBADA.
PIE 8 MEDIDO A 1.1M.
[PIESMAY 011-045] HT COMPROBADO.
[PIESMAY 012-045] HT COMPROBADA.
[PIESMAY 013-045] HT COMPROBADA.
[PIESMAY A 335G Y 6.7M CON DM 120,125 NO ENTRA.
[PIESMAY 016-045]MEDIDO A 1.1M.
[PIESMAY 017 ENTRA POR PENDIENTE.
[PIESMAY 020-045] MEDIDO A 1.4M.
[SUELO] CALICATA A 25G.";"98";" 99";13/7/2007 00:00:00;30/12/1899 10:05:49;13/7/2007 00:00:00;30/12/1899 11:25:14;;"164";"213";"380";"10";"0";119;119;"0";120;120;"T";
"18";"0007";"A";"1";535991.00;4213011.00;"0";"1981";"l";"0011";"2002";;"4-2 ";"2007";;"1";"1";"1";95;65;"1";"2";"2";"2";"1";"4";;;"1";"1";"1";"1";"6";"5";;;"4";"4";;"0";;116;;3.25;;"2";"2";"2";"[CLAESP. RESTO DE ESPECIES=20%]
PARCELA LOCALIZADA CON FOTOS IFN2.
RUMBO PIE 2 COMPROBADO.
PIE 9 DM COMPROBADO.
PIE 12 HT COMPROBADA.
PIE 13 ENTRA POR PENDIENTE.
PIE 14 HT COMPROBADA.
FECHA IFN2: 7-09-1995
FECHA IFN3.29-05-2007";"98";" 99";29/5/2007 00:00:00;30/12/1899 10:10:00;29/6/2007 00:00:00;30/12/1899 12:32:41;;"164";"71";"192";"10";"0";20;20;"0";21;21;"T";" 9"
"18";"0008";"A";"1";540000.00;4213000.00;"0";"1981";"l";"0013";"2002";;"4-2 ";"2007";;"1";"1";"1";80;60;"1";"2";"2";"2";"2";"4";;;"1";"1";"1";"1";"6";"3";;;"4";"4";;"0";;27;;1.75;;"2";"1";"2";"[CLAESP. RESTO DE ESPECIES=10%]
PARCELA LOCALIZADA CON FOTOS IFN2.
SIN AJUSTES EN GPS.
FECHA IFN2: 8-09-1995
FECHA IFN3.23-05-2007";"98";" 99";24/5/2007 00:00:00;30/12/1899 09:39:00;24/5/2007 00:00:00;30/12/1899 11:00:19;;"164";"53";"326";"10";"0";12;12;"0";13;13;"T";" 9"
"18";"0009";"A";"1";540966.00;4212962.00;"0";"1981";"l";"0013";"2002";;"4-2 ";"2007";;"1";"1";"1";95;80;"1";"2";"4";"2";"2";"4";;;"1";"1";"1";"1";"6";"4";;;"4";"4";;"0";;236;;6.25;;"2";"2";"2";"[CLAESP. RESTO DE ESPECIES=0%]
PARCELA LOCALIZADA CO FOTOS IFN2.
[PIESMAY 007-045] ENTRA POR PENDIENTE.
[PIESMAY 008-025]  ENTRA POR PENDIENTE.
";"98";" 99";1/6/2007 00:00:00;30/12/1899 15:22:31;1/6/2007 00:00:00;30/12/1899 19:08:08;;"164";"110";"333";"10";"0";32;32;"0";33;33;"T";" 9"
"18";"0010";"A";"1";541963.00;4213001.00;"0";"1981";"l";"0014";"2002";;"4-2 ";"2007";;"1";"1";"1";90;85;"1";"2";"4";"2";"2";"4";;;"1";"1";"1";"1";"6";"3";;;"4";"4";;"0";;29;;3.50;;"2";"1";"2";"[CLAESP. RESTO DE ESPECIES=0%]
PARCELA LOCALIZADA CON FOTOS IFN2.
[PIESMAY 009-025] HT COMPROBADA.
[PIESMAY 011-025] HT COMPROBADA.
[PIESMAY 017-045] MEDIDO A 1M.
[PIESMAY 018-025] HT COMPROBADA.
EL TOMILLO ES MEJORANA.";"98";" 99";1/6/2007 00:00:00;30/12/1899 11:03:01;1/6/2007 00:00:00;30/12/1899 12:39:23;;"164";"357";"30";"10";"0";30;30;"0";31;31;"T";" 9"
