"Estadillo";"Especie";"Cla";"Subclase";"CatDes";"Tipo";"Densidad";"NumPies";"Hm"
"0001";"002";"A";"4";"1";"1";"1";;
"0001";"002";"A";"4";"3";"1";"1";;
"0001";"045";"A";"4";"2";"6";"3";;
"0001";"045";"A";"4";"3";"3";"2";;
"0001";"045";"A";"4";"4";"6";;19;20
"0002";"045";"A";"1";"2";"6";"3";;
"0002";"045";"A";"1";"3";"3";"2";;
"0002";"045";"A";"1";"4";"6";;7;30
"0003";"002";"A";"1";"2";"1";"1";;
"0003";"037";"A";"1";"1";"1";"1";;
"0003";"045";"A";"1";"1";"3";"1";;
"0003";"045";"A";"1";"2";"3";"1";;
"0003";"215";"A";"1";"3";"1";"1";;
"0004";"045";"A";"1";"2";"3";"3";;
"0004";"045";"A";"1";"3";"3";"1";;
"0004";"045";"A";"1";"4";"3";;3;18
"0005";"025";"A";"1";"4";"1";;1;22
"0005";"045";"A";"1";"1";"3";"3";;
"0005";"045";"A";"1";"2";"3";"3";;
"0005";"045";"A";"1";"3";"3";"2";;
"0005";"045";"A";"1";"4";"3";;11;18
"0005";"215";"A";"1";"2";"1";"1";;
"0006";"045";"A";"1";"1";"3";"3";;
"0006";"045";"A";"1";"2";"3";"3";;
"0006";"045";"A";"1";"3";"3";"2";;
"0006";"045";"A";"1";"4";"6";;14;25
"0006";"215";"A";"1";"2";"1";"1";;
"0007";"045";"A";"1";"2";"3";"3";;
"0007";"045";"A";"1";"3";"3";"2";;
"0007";"278";"A";"1";"1";"1";"1";;
"0007";"476";"A";"1";"2";"1";"2";;
"0008";"025";"A";"1";"1";"1";"1";;
"0008";"025";"A";"1";"4";"1";;2;20
"0008";"037";"A";"1";"2";"1";"3";;
"0008";"037";"A";"1";"3";"1";"2";;
"0008";"045";"A";"1";"2";"3";"3";;
"0008";"045";"A";"1";"3";"3";"3";;
"0008";"045";"A";"1";"4";"3";;3;22
"0008";"215";"A";"1";"2";"6";"2";;
"0009";"045";"A";"1";"2";"3";"3";;
"0009";"045";"A";"1";"3";"3";"3";;
"0009";"045";"A";"1";"4";"6";;20;23
"0009";"215";"A";"1";"3";"3";"2";;
"0009";"215";"A";"1";"4";"3";;7;25
"0010";"045";"A";"1";"2";"6";"3";;
"0010";"045";"A";"1";"3";"3";"3";;
"0010";"045";"A";"1";"4";"6";;33;25
"0011";"002";"A";"4";"2";"3";"2";;
"0011";"037";"A";"4";"1";"1";"2";;
"0011";"045";"A";"4";"2";"3";"2";;
"0011";"045";"A";"4";"3";"3";"2";;
"0011";"215";"A";"4";"2";"3";"2";;
"0011";"215";"A";"4";"3";"3";"2";;
"0011";"215";"A";"4";"4";"3";;1;22
"0012";"045";"A";"1";"2";"3";"2";;
"0012";"045";"A";"1";"3";"3";"1";;
"0012";"215";"A";"1";"2";"1";"1";;
"0012";"295";"A";"1";"2";"1";"2";;
"0013";"037";"A";"1";"2";"1";"1";;
"0013";"045";"A";"1";"2";"3";"3";;
"0013";"045";"A";"1";"3";"3";"3";;
"0013";"045";"A";"1";"4";"3";;5;22
"0014";"045";"A";"4";"1";"3";"3";;
"0014";"045";"A";"4";"2";"3";"3";;
"0014";"045";"A";"4";"3";"3";"1";;
"0015";"025";"A";"1";"2";"1";"1";;
"0015";"037";"A";"1";"2";"1";"1";;
"0015";"045";"A";"1";"2";"3";"3";;
"0015";"045";"A";"1";"3";"3";"3";;
"0016";"025";"A";"1";"2";"1";"1";;
"0016";"025";"A";"1";"3";"1";"1";;
"0016";"037";"A";"1";"2";"1";"3";;
"0016";"295";"A";"1";"1";"1";"1";;
"0016";"295";"A";"1";"2";"1";"2";;
"0016";"295";"A";"1";"3";"1";"2";;
"0017";"016";"A";"1";"3";"2";"2";;
"0017";"037";"A";"1";"1";"1";"1";;
"0017";"037";"A";"1";"2";"1";"1";;
