"COD_parcela";"Especie";"nr_arboles"
"1-A-4";"45";24
"10-A-1";"25";11
"10-A-1";"45";11
"100-A-1";"24";2
"100-A-1";"25";14
"100-A-1";"45";4
"1000-A-4";"26";44
"1000-A-4";"45";11
"1001-A-1";"25";22
"1001-A-1";"26";18
"1008-A-1";"24";6
"1015-A-3C";"21";1
"1015-A-3C";"24";1
"1015-A-3C";"25";4
"1015-A-3E";"25";1
"1018-A-1";"21";31
"1018-A-1";"25";23
"1019-A-1";"24";5
"1020-A-1";"24";8
"1021-A-4";"21";2
"1021-A-4";"25";8
"1022-A-3C";"21";3
"1022-A-3C";"25";2
"1022-A-3E";"25";1
"1028-A-3C";"21";1
"1028-A-3C";"25";1
"1029-A-1";"21";3
"1029-A-1";"25";10
"1029-A-1";"29";2
"103-A-1";"45";9
"1031-A-3C";"24";6
"1031-A-3C";"25";1
"1031-A-3C";"45";1
"1032-A-4";"25";12
"1032-A-4";"26";9
"1033-A-1";"25";1
"1033-A-1";"45";3
"1035-A-1";"21";11
"1035-A-1";"25";5
"1036-A-3C";"45";2
"1036-A-3E";"25";3
"1036-A-3E";"45";1
"1038-A-3C";"45";10
"1038-A-3C";NA;4
"1038-A-3E";"25";10
"1039-A-4";"24";4
"104-A-1";"25";14
"1040-A-1";"24";12
"1044-A-1";"26";8
"1046-A-1";"24";10
"1047-A-1";"24";26
"1048-A-1";"24";18
"105-A-1";"24";5
"105-A-1";"25";5
"1055-A-1";"24";15
"1059-A-3C";"24";18
"1060-A-3C";"26";1
"1060-A-3C";"45";1
"1061-A-1";"24";16
"1062-A-1";"24";21
"1063-A-3C";"26";3
"1063-A-3C";NA;2
"1063-A-3E";"26";17
"1066-A-1";"45";6
"1068-A-1";"45";4
"107-A-1";"24";2
"107-A-1";"25";1
"107-A-1";"45";4
"1070-A-4";"26";11
"1071-A-1";"24";1
"1071-A-1";"26";3
"1073-A-1";"25";26
"1073-A-1";"26";1
"1074-A-1";"26";44
"1075-A-1";"26";77
"1079-A-1";"25";7
"1080-A-1";"25";3
"1082-A-1";"25";18
"1082-A-1";"26";1
"1082-A-1";"57";3
"1082-A-1";"215";1
"1083-A-1";"25";11
"1083-A-1";"26";20
"1083-A-1";NA;5
"1087-A-1";"26";10
"1088-A-1";"25";10
"1088-A-1";"26";9
"1090-A-1";"21";6
"1090-A-1";"25";5
"1091-A-3C";"25";3
"1091-A-3E";"21";1
"1091-A-3E";"25";4
"1092-A-3C";"25";3
"1092-A-3C";"45";3
"1092-A-3E";"25";16
"1092-A-3E";"45";1
"1093-A-1";"25";7
"1093-A-1";"45";1
"1093-A-1";"317";2
"1094-A-1";"25";2
"1094-A-1";"26";1
"1094-A-1";"45";1
"1095-A-3C";"21";8
"1095-A-3C";"25";4
"1095-A-3C";NA;1
"1095-A-3E";"21";10
"1095-A-3E";"25";4
"1096-A-1";"21";32
"1097-A-1";"45";2
"1098-A-1";"26";2
"1098-A-1";"45";5
"1099-A-1";"25";5
"1099-A-1";"45";7
"11-A-4";"25";10
"11-A-4";"45";5
"1102-A-3C";"25";2
"1102-A-3C";"29";3
"1102-A-3E";"25";5
"1105-A-3C";"25";1
"1105-A-3E";"25";3
"1106-A-1";"21";9
"1106-A-1";"25";13
"1107-A-1";"25";11
"1107-A-1";"26";17
"1109-A-1";"15";2
"1109-A-1";"45";3
"1109-A-1";"58";1
"1109-A-1";NA;2
"111-A-3C";"45";11
"111-A-3E";"45";2
"1110-A-1";"25";12
"1111-A-1";"25";20
"1112-A-1";"21";1
