"COD_parcela";"nr_arboles"
"1-A-4";24
"10-A-1";22
"100-A-1";20
"1000-A-4";55
"1001-A-1";40
"1008-A-1";6
"1015-A-3C";6
"1015-A-3E";1
"1018-A-1";54
"1019-A-1";5
"1020-A-1";8
"1021-A-4";10
"1022-A-3C";5
"1022-A-3E";1
"1028-A-3C";2
"1029-A-1";15
"103-A-1";9
"1031-A-3C";8
"1032-A-4";21
"1033-A-1";4
"1035-A-1";16
"1036-A-3C";2
"1036-A-3E";4
"1038-A-3C";14
"1038-A-3E";10
"1039-A-4";4
"104-A-1";14
"1040-A-1";12
"1044-A-1";8
"1046-A-1";10
"1047-A-1";26
"1048-A-1";18
"105-A-1";10
"1055-A-1";15
"1059-A-3C";18
"1060-A-3C";2
"1061-A-1";16
"1062-A-1";21
"1063-A-3C";5
"1063-A-3E";17
"1066-A-1";6
"1068-A-1";4
"107-A-1";7
"1070-A-4";11
"1071-A-1";4
"1073-A-1";27
"1074-A-1";44
"1075-A-1";77
"1079-A-1";7
"1080-A-1";3
"1082-A-1";23
"1083-A-1";36
"1087-A-1";10
"1088-A-1";19
"1090-A-1";11
"1091-A-3C";3
"1091-A-3E";5
"1092-A-3C";6
"1092-A-3E";17
"1093-A-1";10
"1094-A-1";4
"1095-A-3C";13
"1095-A-3E";14
"1096-A-1";32
"1097-A-1";2
"1098-A-1";7
"1099-A-1";12
"11-A-4";15
"1102-A-3C";5
"1102-A-3E";5
"1105-A-3C";1
"1105-A-3E";3
"1106-A-1";22
"1107-A-1";28
"1109-A-1";8
"111-A-3C";11
"111-A-3E";2
"1110-A-1";12
"1111-A-1";20
"1112-A-1";34
"1113-A-3C";13
"1113-A-3E";25
"1114-A-1";12
"1115-A-1";23
"1116-A-1";4
"1117-A-1";10
"1118-A-4";11
"1119-A-3C";7
"1119-A-3E";17
"112-A-1";22
"1120-A-1";15
"1121-A-4";22
"1122-A-1";1
"1123-A-1";23
"1124-A-3C";4
"1124-A-3E";8
"1125-A-3C";30
"1125-A-3E";15
"1126-A-1";10
"1127-A-1";6
"1130-A-1";10
"1131-A-1";18
"1132-A-1";12
