"Estadillo";"Cla";"Subclase";"CoorX";"Coory"
1;"A";"4";538000;4215000
2;"A";"1";538960;4215006
3;"A";"1";536931;4214021
4;"A";"1";537924;4213953
5;"A";"1";539000;4214000
6;"A";"1";539977;4213991
7;"A";"1";535991;4213011
8;"A";"1";540000;4213000
9;"A";"1";540966;4212962
10;"A";"1";541963;4213001
11;"A";"4";536000;4212000
12;"A";"1";537000;4212000
13;"A";"1";537963;4211990
14;"A";"4";539000;4212000
15;"A";"1";540971;4212022
16;"A";"1";541996;4212032
17;"A";"1";537000;4211000
18;"A";"4";538000;4211000
19;"A";"1";538954;4210977
20;"A";"1";539956;4210980
21;"A";"1";535980;4209964
23;"A";"4";540000;4210000
24;"A";"1";543000;4213000
25;"A";"1";542995;4211959
26;"A";"4";544000;4212000
27;"A";"1";544969;4211951
28;"A";"3C";545990;4211975
28;"A";"3E";546011;4212011
29;"A";"1";543997;4210953
30;"A";"1";546969;4210973
31;"A";"1";548978;4210930
32;"A";"4";545000;4210000
33;"A";"1";548991;4209956
34;"A";"1";549942;4209976
35;"A";"1";545987;4208953
37;"A";"3C";551009;4208959
37;"A";"3E";551005;4209008
38;"A";"4C";552000;4209000
39;"A";"4";553000;4209000
41;"A";"1";544992;4207918
42;"A";"1";547009;4207965
43;"A";"1";547972;4207948
44;"A";"1";553003;4207978
45;"A";"1";554026;4207969
46;"A";"1";556005;4207980
47;"A";"1";556988;4207984
48;"A";"1";558021;4207994
49;"A";"1";559007;4207995
53;"A";"1";547000;4207000
54;"A";"1";548977;4206946
55;"A";"1";554048;4206969
56;"A";"1";555046;4206969
58;"A";"1";540994;4206004
59;"A";"4";0;0
60;"A";"1";535029;4205002
61;"A";"1";536003;4204996
64;"A";"4";539000;4205000
65;"A";"1";540006;4205009
67;"A";"1";541963;4205005
71;"A";"4";535956;4203992
72;"A";"4";539000;4204000
73;"A";"4";0;0
75;"A";"1";539992;4202991
77;"A";"3C";530032;4201946
77;"A";"3E";530000;4202000
78;"A";"1";531007;4201968
79;"A";"3C";532027;4201891
79;"A";"3E";532000;4202000
81;"A";"4";538997;4202004
82;"A";"1";540002;4201943
84;"A";"4C";542000;4202000
85;"A";"1";530003;4201025
86;"A";"1";532985;4201014
87;"A";"1";534032;4200982
88;"A";"4";536001;4200999
89;"A";"1";537048;4200943
91;"A";"1";528987;4199995
92;"A";"1";530005;4200050
93;"A";"4";531000;4200000
94;"A";"1";533008;4199976
95;"A";"1";534997;4199995
96;"A";"1";536026;4200008
97;"A";"1";537046;4199977
98;"A";"1";538999;4200000
99;"A";"1";540956;4200016
100;"A";"1";541990;4200024
103;"A";"1";530964;4199065
104;"A";"1";534026;4198977
105;"A";"1";535026;4199029
106;"A";"1";537999;4199000
